dmc,anchor,description,red,green,blue,hexValue
317,400,Pewter Gray,108,108,108,6C6C6C
318,399,Steel Gray Light,171,171,171,ABABAB
319,218,Pistachio Green Very Dark,32,95,46,205F2E
320,215,Pistachio Green Medium,105,136,90,69885A
321,9046,Red,199,43,59,C72B3B
322,978,Baby Blue Dark,90,143,184,5A8FB8
326,59,Rose Very Dark,179,59,75,B33B4B
327,100,Violet Dark,99,54,102,633666
333,119,Blue Violet Very Dark,92,84,120,5C5478
334,977,Baby Blue Medium,115,159,193,739FC1
335,38,Rose,238,84,110,EE546E
336,150,Navy Blue,37,59,115,253B73
340,118,Blue Violet Medium,173,167,199,ADA7C7
341,117,Blue Violet Light,183,191,221,B7BFDD
347,1025,Salmon Very Dark,191,45,45,BF2D2D
349,13,Coral Dark,210,16,53,D21035
350,11,Coral Medium,224,72,72,E04848
351,10,Coral,233,106,103,E96A67
352,9,Coral Light,253,156,151,FD9C97
353,6,Peach,254,215,204,FED7CC
355,1014,Terra Cotta Dark,152,68,54,984436
356,5975,Terra Cotta Medium,197,106,91,C56A5B
367,217,Pistachio Green Dark,97,122,82,617A52
368,214,Pistachio Green Light,166,194,152,A6C298
369,1043,Pistachio Green Very Light,215,237,204,D7EDCC
370,855,Mustard Medium,184,157,100,B89D64
371,854,Mustard,191,166,113,BFA671
372,853,Mustard Light,204,183,132,CCB784
400,351,Mahogany Dark,143,67,15,8F430F
402,1047,Mahogany Very Light,247,167,119,F7A777
407,914,Desert Sand Medium,187,129,97,BB8161
413,236,Pewter Gray Dark,86,86,86,565656
414,235,Steel Gray Dark,140,140,140,8C8C8C
415,398,Pearl Gray,211,211,214,D3D3D6
420,374,Hazelnut Brown Dark,160,112,66,A07042
422,943,Hazelnut Brown Light,198,159,123,C69F7B
433,358,Brown Medium,122,69,31,7A451F
434,310,Brown Light,152,94,51,985E33
435,1046,Brown Very Light,184,119,72,B87748
436,1045,Tan,203,144,81,CB9051
437,362,Tan Light,228,187,142,E4BB8E
444,290,Lemon Dark,255,214,0,FFD600
445,288,Lemon Light,255,251,139,FFFB8B
451,233,Shell Gray Dark,145,123,115,917B73
452,232,Shell Gray Medium,192,179,174,C0B3AE
453,231,Shell Gray Light,215,206,203,D7CECB
469,267,Avocado Green,114,132,60,72843C
470,267,Avocado Green Light,148,171,79,94AB4F
471,266,Avocado Green VeryLight,174,191,121,AEBF79
472,253,Avocado Green Ultra Light,216,228,152,D8E498
498,1005,Red Dark,167,19,43,A7132B
500,683,Blue Green Very Dark,4,77,51,044D33
501,878,Blue Green Dark,57,111,82,396F52
502,877,Blue Green,91,144,113,5B9071
503,876,Blue Green Medium,123,172,148,7BAC94
504,1042,Blue Green Very Light,196,222,204,C4DECC
505,210,Jade Green,51,131,98,338362
517,162,Wedgewood Dark,59,118,143,3B768F
518,1039,Wedgewood Light,79,147,167,4F93A7
519,1038,Sky Blue,126,177,200,7EB1C8
520,862,Fern Green Dark,102,109,79,666D4F
522,860,Fern Green,150,158,126,969E7E
523,859,Fern Green Light,171,177,151,ABB197
524,858,Fern Green Very Light,196,205,172,C4CDAC
535,401,Ash Gray Very Light,99,100,88,636458
543,933,Beige Brown Ultra Very Light,242,227,206,F2E3CE
550,102,Violet Very Dark,92,24,78,5C184E
552,99,Violet  Medium,128,58,107,803A6B
553,98,Violet,163,99,139,A3638B
554,96,Violet Light,219,179,203,DBB3CB
561,212,Celadon Green Very Dark,44,106,69,2C6A45
562,210,Jade Medium,83,151,106,53976A
563,208,Jade Light,143,192,152,8FC098
564,206,Jade Very Light,167,205,175,A7CDAF
580,281,Moss Green Dark,136,141,51,888D33
581,280,Moss Green,167,174,56,A7AE38
597,1064,Turquoise,91,163,179,5BA3B3
598,1062,Turquoise Light,144,195,204,90C3CC
600,59,Cranberry Very Dark,205,47,99,CD2F63
601,57,Cranberry Dark,209,40,106,D1286A
602,63,Cranberry Medium,226,72,116,E24874
603,62,Cranberry,255,164,190,FFA4BE
604,55,Cranberry Light,255,176,190,FFB0BE
605,1094,Cranberry Very Light,255,192,205,FFC0CD
606,334,Orange Red Bright,250,50,3,FA3203
608,332,Burnt Orange Bright,253,93,53,FD5D35
610,889,Drab Brown Dark,121,96,71,796047
611,898,Drab Brown,150,118,86,967656
612,832,Drab Brown Light,188,154,120,BC9A78
613,831,Drab Brown VeryLight,220,196,170,DCC4AA
632,936,Desert Sand Ultra Very Dark,135,85,57,875539
640,903,Beige Gray Very Dark,133,123,97,857B61
642,392,Beige Gray Dark,164,152,120,A49878
644,830,Beige Gray Medium,221,216,203,DDD8CB
645,273,Beaver Gray Very Dark,110,101,92,6E655C
646,8581,Beaver Gray Dark,135,125,115,877D73
647,1040,Beaver Gray Medium,176,166,156,B0A69C
648,900,Beaver Gray Light,188,180,172,BCB4AC
666,46,Bright Red,227,29,66,E31D42
676,891,Old Gold Light,229,206,151,E5CE97
677,886,Old Gold Very Light,245,236,203,F5ECCB
680,901,Old Gold Dark,188,141,14,BC8D0E
699,923,Green,5,101,23,56517
700,228,Green Bright,7,115,27,07731B
701,227,Green Light,63,143,41,3F8F29
702,226,Kelly Green,71,167,47,47A72F
703,238,Chartreuse,123,181,71,7BB547
704,256,Chartreuse Bright,158,207,52,9ECF34
712,926,Cream,255,251,239,FFFBEF
718,88,Plum,156,36,98,9C2462
720,326,Orange Spice Dark,229,92,31,E55C1F
721,925,Orange Spice Medium,242,120,66,F27842
722,323,Orange Spice Light,247,151,111,F7976F
725,305,Topaz Med Light,255,200,64,FFC840
726,295,Topaz Light,253,215,85,FDD755
727,293,Topaz Very Light,255,241,175,FFF1AF
728,305,Topaz,228,180,104,E4B468
729,890,Old Gold Medium,208,165,62,D0A53E
730,845,Olive Green Very Dark,130,123,48,827B30
731,924,Olive Green Dark,147,139,55,938B37
732,281,Olive Green,148,140,54,948C36
733,280,Olive Green Medium,188,179,76,BCB34C
734,279,Olive Green Light,199,192,119,C7C077
738,361,Tan Very Light,236,204,158,ECCC9E
739,387,Tan Ultra Very Light,248,228,200,F8E4C8
740,316,Tangerine,255,139,0,FF8B00
741,304,Tangerine Medium,255,163,43,FFA32B
742,303,Tangerine Light,255,191,87,FFBF57
743,302,Yellow Medium,254,211,118,FED376
744,301,Yellow Pale,255,231,147,FFE793
745,300,Yellow Pale Light,255,233,173,FFE9AD
746,275,Off White,252,252,238,FCFCEE
747,158,Peacock Blue Very Light,229,252,253,E5FCFD
754,1012,Peach Light,247,203,191,F7CBBF
758,868,Terra Cotta Very Light,238,170,155,EEAA9B
760,1022,Salmon,245,173,173,F5ADAD
761,1021,Salmon Light,255,201,201,FFC9C9
762,234,Pearl Gray Very Light,236,236,236,ECECEC
772,259,Yellow Green Very Light,228,236,212,E4ECD4
775,128,Baby Blue Very Light,217,235,241,D9EBF1
776,24,Pink Medium,252,176,185,FCB0B9
777,65,Raspberry Very Dark,145,53,70,913546
778,968,Antique Mauve Very Light,223,179,187,DFB3BB
779,380,Cocoa Dark,98,75,69,624B45
780,309,Topaz Ultra Very Dark,148,99,26,94631A
781,308,Topaz Very Dark,162,109,32,A26D20
782,307,Topaz Dark,174,119,32,AE7720
783,306,Topaz Medium,206,145,36,CE9124
791,178,Cornflower Blue Very Dark,70,69,99,464563
792,941,Cornflower Blue Dark,85,91,123,555B7B
793,176,Cornflower Blue Medium,112,125,162,707DA2
794,175,Cornflower Blue Light,143,156,193,8F9CC1
796,133,Royal Blue Dark,17,65,109,11416D
797,132,Royal Blue,19,71,125,13477D
798,131,Delft Blue Dark,70,106,142,466A8E
799,136,Delft Blue Medium,116,142,182,748EB6
800,144,Delft Blue Pale,192,204,222,C0CCDE
801,359,Coffee Brown Dark,101,57,25,653919
803,149,Baby Blue Ultra Very Dark,44,89,124,2C597C
806,169,Peacock Blue Dark,61,149,165,3D95A5
807,168,Peacock Blue,100,171,186,64ABBA
809,130,Delft Blue,148,168,198,94A8C6
813,161,Blue Light,161,194,215,A1C2D7
814,45,Garnet Dark,123,0,27,7B001B
815,43,Garnet Medium,135,7,31,87071F
816,1005,Garnet,151,11,35,970B23
817,13,Coral Red Very Dark,187,5,31,BB051F
818,23,Baby Pink,255,223,217,FFDFD9
819,271,Baby Pink Light,255,238,235,FFEEEB
820,134,Royal Blue Very Dark,14,54,92,0E365C
822,390,Beige Gray Light,231,226,211,E7E2D3
823,152,Navy Blue Dark,33,48,99,213063
824,164,Blue Very Dark,57,105,135,396987
825,162,Blue Dark,71,129,165,4781A5
826,161,Blue Medium,107,158,191,6B9EBF
827,160,Blue Very Light,189,221,237,BDDDED
